epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,284.206,0.25608,1.27869,0.90698,0.89757,0.88743,0.94763,0.91832,0.19998,0.75676,0.83321,0.00333127,0.00333127,0.00333127
2,551.44,0.2637,0.52623,0.88311,0.93147,0.94728,0.98921,0.97445,0.17105,0.35609,0.81283,0.00659863,0.00659863,0.00659863
3,797.152,0.29852,0.44408,0.89592,0.72057,0.85398,0.89616,0.86203,0.24537,0.99375,0.85697,0.00979998,0.00979998,0.00979998
4,1038.42,0.28102,0.37504,0.88965,0.95516,0.9594,0.99092,0.97561,0.1722,0.2506,0.81645,0.009703,0.009703,0.009703
5,1285.41,0.2352,0.29814,0.87476,0.96705,0.97103,0.99195,0.98116,0.15302,0.21172,0.80391,0.009604,0.009604,0.009604
6,1532.34,0.21191,0.26254,0.86884,0.95432,0.94495,0.98302,0.97409,0.12942,0.26021,0.79313,0.009505,0.009505,0.009505
7,1778.91,0.19657,0.24143,0.86426,0.97907,0.97636,0.99082,0.97857,0.14238,0.17602,0.80524,0.009406,0.009406,0.009406
8,2026.01,0.1814,0.22107,0.86009,0.9949,0.99504,0.99479,0.9925,0.10621,0.11977,0.77853,0.009307,0.009307,0.009307
9,2272.31,0.17514,0.21586,0.85898,0.98999,0.99172,0.99442,0.99194,0.10149,0.12329,0.7771,0.009208,0.009208,0.009208
10,2518.73,0.1668,0.20061,0.85642,0.97406,0.97859,0.99203,0.98766,0.10259,0.15552,0.78496,0.009109,0.009109,0.009109
11,2765.69,0.15792,0.19343,0.85323,0.98959,0.98756,0.99431,0.99204,0.09017,0.11664,0.77646,0.00901,0.00901,0.00901
12,3015.44,0.15208,0.18842,0.8514,0.99488,0.99744,0.99457,0.99307,0.08775,0.09805,0.77274,0.008911,0.008911,0.008911
13,3266.01,0.14934,0.18146,0.85113,0.98783,0.99185,0.99429,0.99236,0.08425,0.10335,0.77351,0.008812,0.008812,0.008812
14,3516.32,0.14546,0.17813,0.85155,0.98979,0.99593,0.99462,0.99341,0.08126,0.0988,0.7709,0.008713,0.008713,0.008713
15,3765.84,0.14257,0.17365,0.85117,0.98538,0.99361,0.9937,0.9919,0.07826,0.0988,0.76989,0.008614,0.008614,0.008614
16,4014.38,0.13831,0.16841,0.84934,0.99093,0.99527,0.99466,0.99347,0.07465,0.09073,0.76748,0.008515,0.008515,0.008515
17,4263.58,0.13669,0.16391,0.8485,0.99193,0.99775,0.99478,0.9939,0.073,0.08536,0.76566,0.008416,0.008416,0.008416
18,4512.63,0.13371,0.16301,0.84768,0.99249,0.99521,0.9948,0.99368,0.07317,0.08443,0.76679,0.008317,0.008317,0.008317
19,4761.06,0.13048,0.15913,0.84664,0.96922,0.97965,0.99159,0.98928,0.07337,0.11927,0.77055,0.008218,0.008218,0.008218
20,5010.04,0.12811,0.1558,0.84507,0.98122,0.98529,0.99409,0.99273,0.07166,0.10258,0.76764,0.008119,0.008119,0.008119
21,5258.45,0.12672,0.15875,0.84601,0.99014,0.9947,0.99456,0.99339,0.06854,0.08537,0.76611,0.00802,0.00802,0.00802
22,5507.41,0.12434,0.15317,0.84513,0.99346,0.99505,0.99463,0.99349,0.06788,0.08289,0.7662,0.007921,0.007921,0.007921
23,5754.91,0.12217,0.14862,0.84529,0.99296,0.99648,0.9948,0.99396,0.06531,0.07559,0.76607,0.007822,0.007822,0.007822
24,6002.78,0.12114,0.15065,0.84586,0.9898,0.99599,0.99432,0.99308,0.06597,0.08074,0.76568,0.007723,0.007723,0.007723
25,6250.89,0.11953,0.1458,0.84492,0.98589,0.99141,0.9936,0.9924,0.06445,0.08761,0.76602,0.007624,0.007624,0.007624
