epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,294.732,0.19931,1.08259,0.86866,0.79599,0.78153,0.86639,0.79709,0.27382,1.00265,0.90764,0.00333127,0.00333127,0.00333127
2,559.628,0.22799,0.42718,0.86091,0.83005,0.79719,0.86996,0.73968,0.42094,0.78519,1.00645,0.00659863,0.00659863,0.00659863
3,816.854,0.24945,0.34724,0.86608,0.7432,0.6894,0.76012,0.63879,0.48806,1.12636,1.05985,0.00979998,0.00979998,0.00979998
4,1069.16,0.23025,0.29814,0.86141,0.8228,0.77061,0.85617,0.704,0.52196,0.76218,1.09546,0.009703,0.009703,0.009703
5,1319.54,0.19233,0.23721,0.85258,0.80061,0.81648,0.87323,0.74568,0.46974,0.67783,1.05753,0.009604,0.009604,0.009604
6,1571.36,0.16894,0.20917,0.84755,0.79784,0.80639,0.87405,0.72088,0.5856,0.75866,1.15913,0.009505,0.009505,0.009505
7,1823.85,0.15546,0.18937,0.84394,0.83886,0.81904,0.90381,0.78681,0.42243,0.64968,1.03478,0.009406,0.009406,0.009406
8,2076.22,0.14485,0.17814,0.84052,0.80015,0.77564,0.86631,0.71858,0.5096,0.80007,1.11726,0.009307,0.009307,0.009307
9,2329.31,0.13519,0.16902,0.83959,0.8106,0.82245,0.89531,0.77583,0.43933,0.66814,1.05906,0.009208,0.009208,0.009208
10,2581.96,0.12894,0.16138,0.83823,0.79671,0.83124,0.89808,0.76566,0.43013,0.70709,1.06086,0.009109,0.009109,0.009109
11,2834.08,0.12399,0.15607,0.83742,0.83064,0.83979,0.90712,0.78406,0.44781,0.65034,1.0787,0.00901,0.00901,0.00901
